Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
S71913 CD/P4A,65.0,90.0,13.0,20.8,17.0,0.71,14000.0,
7013 ACB/HCP4A,65.0,100.0,18.0,14.6,12.2,0.38,19000.0,30000.0
7013 ACB/HCP4AL,65.0,100.0,18.0,14.6,12.2,0.38,19000.0,30000.0
S7013 ACB/HCP4A,65.0,100.0,18.0,14.6,12.2,0.38,19000.0,
7013 ACB/P4A,65.0,100.0,18.0,14.6,12.2,0.52,16000.0,26000.0
7013 ACB/P4AL,65.0,100.0,18.0,14.6,12.2,0.52,16000.0,26000.0
S7013 ACB/P4A,65.0,100.0,18.0,14.6,12.2,0.52,16000.0,
7013 CB/HCP4A,65.0,100.0,18.0,15.6,12.9,0.4,22000.0,34000.0
7013 CB/HCP4AL,65.0,100.0,18.0,15.6,12.9,0.4,22000.0,34000.0
S7013 CB/HCP4A,65.0,100.0,18.0,15.6,12.9,0.4,22000.0,
7013 CB/P4A,65.0,100.0,18.0,15.6,12.9,0.55,18000.0,28000.0
7013 CB/P4AL,65.0,100.0,18.0,15.6,12.9,0.55,18000.0,28000.0
S7013 CB/P4A,65.0,100.0,18.0,15.6,12.9,0.55,18000.0,
7013 ACE/HCP4A,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,31000.0
7013 ACE/HCP4AH1,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,31000.0
7013 ACE/HCP4AL,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,31000.0
7013 ACE/HCP4AL1,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,31000.0
7013 ACE/HCP4BVG275,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,
S7013 ACE/HCP4A,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,
S7013 ACE/HCP4BVG275,65.0,100.0,18.0,19.5,14.6,0.455,20000.0,
7013 ACE/P4A,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,26000.0
7013 ACE/P4AH1,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,26000.0
7013 ACE/P4AL,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,26000.0
7013 ACE/P4AL1,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,26000.0
7013 ACE/P4BVG275,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,
S7013 ACE/P4A,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,
S7013 ACE/P4BVG275,65.0,100.0,18.0,19.5,14.6,0.62,17000.0,
7013 CE/HCP4A,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,34000.0
7013 CE/HCP4AH1,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,34000.0
7013 CE/HCP4AL,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,34000.0
7013 CE/HCP4AL1,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,34000.0
7013 CE/HCP4BVG275,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,
S7013 CE/HCP4A,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,
S7013 CE/HCP4BVG275,65.0,100.0,18.0,20.3,15.6,0.48,22000.0,
7013 CE/P4A,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,30000.0
7013 CE/P4AH1,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,30000.0
7013 CE/P4AL,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,30000.0
7013 CE/P4AL1,65.0,100.0,18.0,20.3,15.6,0.655,19000.0,30000.0
